CTPRVN_NM,SIGNGU_NM,SIGNGU_CD,POPLTN_CO,LBRRY_CO,MUSEUM_CO,ARTGR_CO,PRFPLC_CO,ALL_CTLSTT_CO,LBRRY_RT,MUSEUM_RT,ARTGR_RT,PRFPLC_RT,ALL_CLTUR_RT,FILE_NM,BASE_DE
대구광역시,달성군,27710,71510,3,1,0,16,20,4.1952E-5,1.3984E-5,0.0,2.23744E-4,2.79681E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
대구광역시,군위군,27720,2624,1,2,0,2,5,3.81097E-4,7.62195E-4,0.0,7.62195E-4,0.001905487,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
대전광역시,동구,30110,76262,6,3,0,24,33,7.8676E-5,3.9338E-5,0.0,3.14704E-4,4.32718E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
대전광역시,중구,30140,56810,3,1,0,64,68,5.2807E-5,1.7602E-5,0.0,0.001126562,0.001196972,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
대전광역시,서구,30170,152111,5,1,3,36,45,3.287E-5,6.574E-6,1.9722E-5,2.36669E-4,2.95836E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
대전광역시,유성구,30200,132560,8,7,2,42,59,6.035E-5,5.2806E-5,1.5087E-5,3.16837E-4,4.45081E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
대전광역시,대덕구,30230,47907,3,3,0,14,20,6.2621E-5,6.2621E-5,0.0,2.92232E-4,4.17475E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
부산광역시,중구,26110,12178,1,2,1,18,22,8.2115E-5,1.6423E-4,8.2115E-5,0.001478075,0.001806536,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
부산광역시,서구,26140,23146,1,2,1,4,8,4.3204E-5,8.6408E-5,4.3204E-5,1.72816E-4,3.45632E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
부산광역시,동구,26170,19981,3,0,0,12,15,1.50142E-4,0.0,0.0,6.0057E-4,7.50713E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
부산광역시,영도구,26200,21508,2,3,0,8,13,9.2988E-5,1.39482E-4,0.0,3.71954E-4,6.04426E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
부산광역시,부산진구,26230,97432,4,4,1,36,45,4.1054E-5,4.1054E-5,1.0263E-5,3.69488E-4,4.6186E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
부산광역시,동래구,26260,63389,4,3,0,16,23,6.3102E-5,4.7326E-5,0.0,2.52409E-4,3.62838E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
부산광역시,남구,26290,73327,2,6,1,58,67,2.7275E-5,8.1825E-5,1.3637E-5,7.90977E-4,9.13715E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
부산광역시,북구,26320,69887,5,2,0,10,17,7.1544E-5,2.8617E-5,0.0,1.43088E-4,2.43249E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
부산광역시,해운대구,26350,92746,7,1,2,60,70,7.5474E-5,1.0782E-5,2.1564E-5,6.46928E-4,7.54749E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
부산광역시,사하구,26380,75512,2,1,1,6,10,2.6485E-5,1.3242E-5,1.3242E-5,7.9457E-5,1.32429E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
부산광역시,금정구,26410,66828,3,4,2,34,43,4.4891E-5,5.9855E-5,2.9927E-5,5.08768E-4,6.43442E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
부산광역시,강서구,26440,41483,3,1,0,6,10,7.2318E-5,2.4106E-5,0.0,1.44637E-4,2.41062E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
부산광역시,연제구,26470,48640,2,1,0,14,17,4.1118E-5,2.0559E-5,0.0,2.87828E-4,3.49506E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
부산광역시,수영구,26500,46807,3,0,0,44,47,6.4092E-5,0.0,0.0,9.4003E-4,0.001004123,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
부산광역시,사상구,26530,60296,2,2,0,14,18,3.3169E-5,3.3169E-5,0.0,2.32187E-4,2.98527E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
부산광역시,기장군,26710,35943,7,1,0,16,24,1.94752E-4,2.7821E-5,0.0,4.45149E-4,6.67723E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
서울특별시,종로구,11110,64262,7,38,18,584,647,1.08929E-4,5.91329E-4,2.80103E-4,0.009087796,0.010068158,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
서울특별시,중구,11140,54902,9,17,3,124,153,1.63928E-4,3.09642E-4,5.4642E-5,0.002258569,0.002786783,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
서울특별시,용산구,11170,86460,4,8,4,106,122,4.6264E-5,9.2528E-5,4.6264E-5,0.001226,0.001411057,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
서울특별시,성동구,11200,106493,7,3,2,98,110,6.5732E-5,2.817E-5,1.878E-5,9.20248E-4,0.001032931,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
서울특별시,광진구,11215,143019,7,3,0,58,68,4.8944E-5,2.0976E-5,0.0,4.0554E-4,4.75461E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
서울특별시,동대문구,11230,151952,8,5,0,28,41,5.2648E-5,3.2905E-5,0.0,1.84268E-4,2.69822E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
서울특별시,중랑구,11260,111454,5,0,0,4,9,4.4861E-5,0.0,0.0,3.5889E-5,8.075E-5,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
서울특별시,성북구,11290,162756,13,9,4,88,114,7.9874E-5,5.5297E-5,2.4576E-5,5.40686E-4,7.00435E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
서울특별시,강북구,11305,81030,7,3,0,28,38,8.6387E-5,3.7023E-5,0.0,3.45551E-4,4.68962E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
서울특별시,도봉구,11320,80358,9,2,0,10,21,1.11998E-4,2.4888E-5,0.0,1.24443E-4,2.6133E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
